vehicle_id,vehicle_type,plate_number,timestamp
1,car,UNREADABLE,23:39:51
2,car,UNREADABLE,23:39:52
4,car,UNREADABLE,23:39:53
5,car,ATESCANNIN,23:39:55
11,car,PLATE,23:41:00
3,car,UNREADABLE,23:41:04
26,car,UNREADABLE,23:41:14
45,truck,202341,23:41:48
48,car,PLATEPLATE,23:42:21
8,car,ATEUNREADAB,23:42:24
70,car,UNREADABLE,23:42:30
51,car,CAR,23:42:52
73,car,06CAR,23:43:13
